WineID,Type,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality
1,Red,12.44,0.7,0.17,2.0,0.059,17.3,73.0,0.9962,3.21,0.72,11.71,6
2,Red,10.77,0.68,0.13,3.68,0.056,29.0,27.9,0.9974,3.19,0.72,10.44,5
3,Red,6.0,0.33,0.0,1.42,0.115,6.4,61.9,0.9966,3.3,0.45,11.04,5
4,Red,10.93,0.56,0.51,2.61,0.094,18.1,51.5,0.9973,3.44,0.87,10.72,5
5,Red,10.18,0.31,0.3,3.36,0.058,26.7,9.7,0.9966,3.3,0.7,10.24,6
6,Red,11.57,0.4,0.32,1.9,0.065,1.0,67.6,0.9936,3.37,0.74,10.6,5
7,Red,4.72,0.16,0.4,4.75,0.178,22.9,26.6,0.9989,3.39,0.6,10.88,6
8,Red,7.73,0.85,0.65,4.28,0.087,22.8,116.8,1.0002,3.42,0.57,9.81,5
9,Red,5.38,0.77,0.29,3.46,0.046,1.0,21.4,0.9968,3.43,0.54,9.55,5
10,Red,6.28,0.89,0.2,4.55,0.124,9.3,68.2,0.9971,3.39,0.7,10.14,6
11,Red,9.67,0.27,0.36,1.55,0.023,5.7,82.8,0.9958,3.29,0.52,10.08,5
12,Red,8.18,0.39,0.08,3.11,0.083,18.7,144.5,0.9985,3.3,0.48,10.8,6
13,Red,10.96,0.82,0.17,0.9,0.116,19.0,41.1,0.9949,3.4,0.62,10.85,6
14,Red,8.24,0.16,0.54,3.31,0.08,30.6,13.9,0.9918,3.35,0.51,11.59,5
15,Red,10.44,0.4,0.34,2.57,0.12,17.1,32.3,0.9968,3.41,0.81,11.76,6
16,Red,6.44,0.19,0.22,2.62,0.108,27.4,30.5,0.9925,3.2,0.65,12.08,6
17,Red,7.69,0.87,0.1,1.08,0.062,19.3,57.9,0.9992,3.36,0.53,11.66,6
18,Red,10.03,0.51,0.31,2.87,0.073,28.2,73.8,0.9966,3.33,0.93,8.54,6
19,Red,7.95,0.76,0.0,2.61,0.012,14.5,53.7,0.9953,3.61,0.55,10.07,5
20,Red,9.24,0.69,0.62,1.19,0.091,1.0,67.0,0.9998,3.34,0.86,10.6,5
21,Red,7.74,0.3,0.12,1.19,0.031,3.2,89.0,0.9991,3.23,0.99,10.33,4
22,Red,7.95,0.45,0.17,1.36,0.096,13.3,55.6,0.9965,3.32,0.66,10.3,5
23,Red,8.02,0.62,0.21,1.55,0.012,14.6,20.7,0.9997,3.27,0.6,12.01,5
24,Red,8.4,0.3,0.0,2.74,0.012,25.7,85.0,0.9974,3.3,0.64,9.9,5
25,Red,10.62,0.45,0.2,3.48,0.075,23.2,73.2,0.9975,3.34,0.67,10.75,6
26,Red,9.71,0.39,0.41,0.9,0.097,19.4,60.4,0.993,3.45,0.45,10.64,6
27,Red,7.57,0.55,0.0,4.67,0.113,14.4,43.8,0.9966,3.55,0.45,12.27,6
28,Red,5.11,0.37,0.51,2.28,0.085,11.4,73.1,0.9986,3.34,0.58,10.31,5
29,Red,8.3,0.59,0.36,0.9,0.125,24.7,98.7,0.998,3.36,0.65,9.82,5
30,Red,8.99,0.63,0.35,1.96,0.068,1.0,48.0,1.0005,3.2,0.92,10.42,5
31,Red,11.16,0.47,0.11,1.45,0.07,10.3,121.9,0.9978,3.3,0.89,10.02,6
32,Red,9.71,0.64,0.56,0.9,0.087,27.1,66.5,0.9961,3.43,0.77,9.37,4
33,Red,5.81,0.63,0.28,3.8,0.133,1.0,87.8,0.9947,3.17,0.62,12.14,6
34,Red,10.33,0.26,0.29,1.66,0.129,19.1,41.9,0.9955,3.51,0.41,11.0,7
35,Red,8.4,0.56,0.16,0.9,0.089,10.8,28.3,0.9979,3.22,0.5,10.55,6
36,Red,10.65,0.58,0.0,2.69,0.046,25.9,57.5,0.9966,3.35,0.48,11.41,6
37,Red,9.48,0.59,0.16,4.14,0.074,11.8,102.4,0.9933,3.16,0.82,10.41,5
38,Red,9.01,0.69,0.21,3.55,0.016,8.5,12.6,0.9978,3.33,0.54,10.97,4
39,Red,8.54,0.58,0.15,2.08,0.112,36.8,35.6,0.9988,3.4,0.68,12.76,8
40,Red,7.69,0.31,0.21,4.29,0.124,20.5,96.3,0.9987,3.13,0.84,10.62,5
41,Red,9.43,0.51,0.51,2.58,0.069,16.5,52.7,0.9958,3.32,0.56,9.6,5
42,Red,7.74,0.81,0.46,0.9,0.012,20.8,65.6,0.9954,3.69,0.61,10.94,6
43,Red,5.71,0.31,0.07,2.03,0.175,14.6,25.8,0.9997,3.26,0.7,10.51,5
44,Red,6.87,0.27,0.63,1.28,0.096,22.4,74.5,0.9977,3.18,0.74,10.57,5
45,Red,6.3,0.72,0.02,1.07,0.083,4.6,38.2,0.9949,3.05,0.6,9.9,6
46,Red,7.46,0.55,0.43,3.44,0.155,9.9,115.1,0.9982,3.28,0.43,10.45,6
47,Red,9.72,0.43,0.28,1.18,0.04,8.1,16.8,0.9958,3.28,0.82,9.73,4
48,Red,8.44,0.39,0.25,2.94,0.108,1.0,87.4,0.9957,3.4,0.35,9.57,6
49,Red,9.75,0.8,0.21,1.47,0.055,21.2,25.5,0.9999,3.4,0.91,11.99,5
50,Red,9.7,0.64,0.22,5.02,0.094,6.6,63.4,0.9981,3.12,0.75,11.48,6
51,Red,9.17,0.39,0.13,2.38,0.018,1.0,28.8,0.9978,3.56,0.74,11.3,7
52,Red,7.5,0.5,0.12,2.79,0.079,26.5,27.3,0.9974,3.17,0.33,11.83,6
53,Red,9.42,0.32,0.41,1.84,0.028,1.0,51.6,1.0,3.24,0.66,11.75,7
54,Red,10.8,0.43,0.45,1.84,0.078,8.1,64.7,0.9962,3.43,0.67,11.37,4
55,Red,7.58,0.39,0.0,2.98,0.081,22.6,63.1,0.9983,3.45,0.64,9.59,6
56,Red,8.31,0.55,0.26,3.59,0.04,1.0,81.1,0.9976,3.1,0.71,10.5,6
57,Red,7.93,0.36,0.18,0.9,0.05,8.8,26.2,0.9978,3.28,0.91,11.12,5
58,Red,11.7,0.49,0.0,2.36,0.118,20.4,6.0,0.9973,2.99,1.05,10.2,5
59,Red,5.39,0.79,0.58,1.9,0.074,26.6,94.2,0.9927,3.18,0.8,10.72,6
60,Red,8.65,0.12,0.19,4.09,0.097,17.9,75.9,0.9974,3.09,0.43,9.72,5
61,Red,8.01,0.62,0.14,1.26,0.129,27.4,45.6,0.9984,3.36,0.42,11.6,6
62,Red,8.08,0.63,0.08,2.39,0.064,27.0,47.3,0.9941,3.29,0.49,10.0,5
63,Red,8.74,0.69,0.39,2.08,0.115,34.1,49.1,0.9992,3.39,0.79,11.73,7
64,Red,9.66,0.39,0.31,2.32,0.014,7.9,6.0,0.9968,3.59,0.62,10.87,6
65,Red,5.09,0.48,0.23,3.02,0.149,20.4,59.2,0.9989,3.28,0.98,10.42,6
66,Red,7.21,0.58,0.39,2.9,0.023,16.1,67.7,0.9984,3.1,0.92,10.89,6
67,Red,6.22,0.65,0.21,2.28,0.141,14.8,90.8,0.9989,3.26,0.68,11.1,5
68,Red,8.08,0.53,0.04,4.35,0.057,9.1,136.3,0.9954,3.42,0.68,11.25,6
69,Red,9.29,0.65,0.0,0.9,0.093,2.8,25.2,0.9933,3.29,0.82,10.7,6
70,Red,9.18,0.19,0.21,1.81,0.118,23.0,75.8,0.9972,3.26,0.73,10.45,6
71,Red,5.57,0.57,0.57,2.33,0.091,20.4,39.9,0.9963,3.31,0.63,9.41,5
72,Red,4.6,0.46,0.11,1.5,0.113,5.9,35.3,0.9947,3.31,0.58,11.23,5
73,Red,5.66,0.49,0.31,2.0,0.073,1.5,85.2,0.9978,3.05,0.88,10.08,5
74,Red,11.09,0.49,0.32,0.9,0.121,1.0,57.3,0.9964,3.52,0.79,10.79,4
75,Red,6.64,0.52,0.18,0.9,0.064,15.3,25.8,0.9969,3.6,0.71,10.77,5
76,Red,7.74,0.22,0.0,0.9,0.029,1.6,46.8,0.9983,3.87,0.58,9.08,4
77,Red,6.49,0.38,0.15,0.9,0.172,18.7,57.3,0.9967,3.28,0.5,9.63,5
78,Red,8.19,0.78,0.08,0.9,0.012,20.1,6.0,0.998,3.12,0.82,11.68,6
79,Red,6.27,0.81,0.39,4.64,0.129,20.6,65.4,0.9961,3.42,0.54,9.57,5
80,Red,6.15,0.73,0.18,4.08,0.05,10.7,56.8,0.9941,3.1,0.58,10.54,6
81,Red,11.43,0.45,0.07,5.85,0.086,14.5,30.3,0.9952,3.41,0.53,9.8,5
82,Red,8.92,0.46,0.47,3.4,0.131,16.8,46.8,1.0,3.38,0.85,10.26,5
83,Red,6.79,0.68,0.7,2.74,0.016,15.5,70.7,0.9992,3.11,0.73,11.14,7
84,Red,9.73,0.17,0.25,2.0,0.123,18.6,55.3,0.9951,3.47,0.72,10.41,6
85,Red,9.68,0.3,0.27,0.9,0.078,27.0,29.3,0.9989,3.47,0.67,9.43,5
86,Red,5.19,0.65,0.0,2.53,0.013,12.6,6.0,0.9963,3.24,0.77,10.59,5
87,Red,5.37,0.38,0.0,0.9,0.056,12.1,15.4,1.0004,3.38,0.77,11.32,6
88,Red,11.32,0.79,0.45,3.19,0.179,19.1,28.1,0.9936,3.11,0.54,10.03,5
89,Red,9.01,0.67,0.41,4.29,0.116,2.8,14.1,0.997,3.26,0.84,12.04,7
90,Red,7.93,0.36,0.49,1.83,0.017,16.9,91.9,0.995,3.38,0.59,11.21,6
91,Red,8.64,0.5,0.15,1.74,0.068,1.0,6.0,0.9978,3.22,0.78,11.57,5
92,Red,7.31,0.69,0.0,2.2,0.058,24.2,28.3,0.9989,3.41,0.83,11.22,6
93,Red,6.26,0.66,0.19,1.21,0.094,32.5,47.3,0.9952,2.94,0.98,11.31,6
94,Red,9.06,0.46,0.25,4.78,0.077,11.5,129.8,0.9979,3.28,0.5,11.51,6
95,Red,9.51,0.6,0.25,4.73,0.056,3.8,86.6,0.9941,3.25,0.5,11.34,6
96,Red,8.46,0.34,0.12,2.23,0.113,21.9,60.8,0.9956,3.31,0.71,11.14,7
97,Red,9.4,0.5,0.19,3.24,0.016,33.6,60.4,0.9969,3.38,0.66,11.46,7
98,Red,7.8,0.73,0.38,0.9,0.067,6.6,6.0,0.9975,3.29,0.82,8.65,5
99,Red,7.99,0.54,0.6,3.63,0.074,11.7,69.7,0.9979,3.18,0.76,11.9,5
100,Red,10.18,0.46,0.43,5.13,0.134,13.3,124.3,0.9925,3.62,0.59,10.37,6
101,Red,9.4,0.52,0.42,2.54,0.089,13.7,61.3,0.9967,3.16,0.92,10.23,5
102,Red,7.44,0.29,0.56,2.11,0.083,22.2,20.7,0.9975,3.35,0.96,10.37,5
103,Red,8.12,0.45,0.18,1.78,0.116,4.0,25.6,0.9985,3.14,0.94,9.75,5
104,Red,9.39,0.46,0.17,2.05,0.033,3.9,72.8,0.995,3.19,0.61,11.03,6
105,Red,8.79,0.47,0.14,2.34,0.092,8.6,105.6,0.9984,3.43,0.64,10.05,5
106,Red,11.04,0.61,0.49,0.9,0.105,1.0,46.9,0.9947,3.41,0.7,9.09,6
107,Red,8.15,0.39,0.42,2.57,0.048,11.1,60.5,0.9956,3.32,0.52,8.41,6
108,Red,8.11,0.76,0.05,5.96,0.133,13.7,37.5,0.9954,3.43,0.92,9.93,5
109,Red,9.75,0.45,0.19,2.93,0.14,8.2,56.5,0.9952,3.32,0.41,11.53,7
110,Red,6.56,0.59,0.76,1.74,0.143,3.6,10.4,0.9977,3.56,0.96,11.78,6
111,Red,9.35,0.75,0.46,1.73,0.159,10.5,41.0,0.9939,3.29,0.75,11.5,5
